loan_sequence_number,current_delinquency_status,current_int_rate,actual_loss,credit_score,first_time_homebuyer_flag,original_upb,original_cltv,original_dti_ratio,original_int_rate,property_state,predicted_loss
F09Q40371313,0,4.75,0.0,750,N,109000,95,33,4.75,MO,-6878.358726918168
F09Q20209055,0,4.5,0.0,693,N,268000,80,41,4.5,NJ,-7568.754585532661
F09Q20172262,0,4.875,0.0,771,N,165000,68,24,4.875,CA,-3372.65841133866
F09Q20693874,0,4.75,0.0,774,N,417000,58,45,4.75,WI,-2140.389415442064
F09Q20149072,0,5.25,0.0,772,N,52000,41,16,5.25,NY,-2058.547443164656
F09Q20194349,0,4.625,0.0,746,N,35000,40,26,4.625,KY,-3025.8873447547485
F09Q20310553,0,4.875,0.0,766,N,339000,90,26,4.875,WA,-5775.557707127667
F09Q40155518,0,5.75,0.0,640,N,97000,62,46,5.75,NY,-4744.833196234757
F09Q30336563,0,5.375,0.0,792,N,308000,80,35,5.375,AL,-2249.337335358944
F09Q10434986,RA,4.875,-57815.74,767,N,154000,75,22,4.875,VA,-61568.23274702899
F09Q20058070,0,4.875,0.0,789,N,300000,76,40,4.875,MA,-6609.549918764179
F09Q20365909,0,4.75,0.0,752,N,315000,87,30,4.75,NJ,-3141.8795510243235
F09Q30237719,0,5.0,0.0,693,N,262000,94,999,5.0,CA,-5897.911207085733
F09Q20488614,0,4.625,0.0,816,N,225000,73,44,4.625,MN,-5412.636477984336
F09Q20630390,0,5.5,0.0,710,N,117000,80,42,5.5,MI,-8952.455768231543
F09Q30299749,0,5.125,0.0,768,Y,99000,85,22,5.125,NC,-3540.63841712235
F09Q20572699,0,4.875,0.0,786,N,366000,66,43,4.875,CO,-2071.2717887955187
F09Q40336994,0,4.875,0.0,767,N,175000,75,38,4.875,PA,-8579.883175891162
F09Q30294975,0,5.375,0.0,722,N,167000,93,999,5.375,IN,-5177.248059384482
F09Q30130000,0,4.95,0.0,801,N,104000,64,30,4.95,WI,-3693.828943592527
F09Q40451901,0,5.625,0.0,683,Y,118000,100,38,5.625,KY,-6997.417365534018
F09Q40027321,0,5.25,0.0,781,Y,230000,94,31,5.25,IN,-2235.521397598105
F09Q20547079,0,4.25,0.0,791,N,175000,80,24,4.25,OH,-4656.660207914295
F09Q20645319,0,4.75,0.0,773,N,217000,50,33,4.75,NY,-9672.522640641664
F09Q30189219,0,5.0,0.0,686,N,128000,84,999,5.0,LA,-8649.917389752894
F09Q20221864,0,5.0,0.0,657,N,104000,70,34,5.0,MI,-1246.97981097686
F09Q40385138,0,5.125,0.0,724,N,282000,41,41,5.125,WA,-3392.5286365353786
F09Q30358922,0,5.375,0.0,762,N,158000,58,41,5.375,IL,-8297.069224127998
F09Q30387847,0,4.5,0.0,757,N,180000,58,21,4.5,CA,-2659.2237707339705
F09Q40199512,0,4.75,0.0,750,N,293000,60,41,4.75,MA,-5316.396892179146
F09Q20630784,0,4.75,0.0,775,N,278000,30,999,4.75,AZ,-8791.703194794449
F09Q20711696,0,4.25,0.0,736,N,146000,85,999,4.25,IN,-8075.334154037578
F09Q30095849,0,5.25,0.0,802,N,120000,48,20,5.25,NJ,-5596.1266617426645
F09Q20164539,0,4.75,0.0,759,N,224000,43,17,4.75,OR,-7966.643100332047
F09Q20172735,0,4.75,0.0,801,N,410000,75,29,4.75,IN,-8212.596404540796
F09Q40378340,0,4.25,0.0,806,N,280000,80,21,4.25,WA,-5923.9591813751
F09Q20471209,0,6.0,0.0,804,N,131000,73,20,6.0,NC,-4456.644593260205
F09Q40362527,0,5.125,0.0,726,N,203000,114,999,5.125,NY,-4758.709014643157
F09Q40067351,0,4.25,0.0,787,N,417000,75,29,4.25,UT,-6526.647676981461
F09Q40288289,0,4.75,0.0,776,N,200000,58,36,4.75,OH,-4910.598490979667
F09Q20279891,0,5.25,0.0,783,N,79000,31,27,5.25,WA,-5882.615078428022
F09Q30268129,0,4.875,0.0,753,N,143000,90,999,4.875,MI,-6943.479195415479
F09Q20697096,0,5.75,0.0,711,N,340000,79,24,5.75,WA,-3731.266843650976
F09Q40441937,0,5.25,0.0,751,N,219000,91,999,5.25,NJ,-9951.98701751651
F09Q20034499,0,4.875,0.0,684,N,207000,77,31,4.875,FL,-7013.661657266109
F09Q20170001,0,5.0,0.0,746,N,358000,80,35,5.0,MA,-6094.642450623063
F09Q20302129,0,4.875,0.0,805,N,504000,80,33,4.875,NJ,-5111.7488940528665
F09Q20082542,0,4.625,0.0,781,N,89000,40,999,4.625,WA,-4710.951572318398
F09Q30358771,1,5.375,0.0,708,N,204000,80,54,5.375,NJ,-5961.377690337099
F09Q40127547,0,4.875,0.0,769,N,146000,67,45,4.875,IN,-8098.377183182176
F09Q40363857,0,4.75,0.0,769,N,123000,66,999,4.75,OR,-5847.077011453567
F09Q20246790,8,4.95,-35386.15,725,N,178000,77,44,4.95,OR,-33385.19955169663
F09Q30434385,0,4.5,0.0,793,N,80000,55,30,4.5,LA,-8132.4622980520335
F09Q30066388,4,4.75,-27288.5,809,N,108000,73,16,4.75,AZ,-28755.67433983821
F09Q20061787,0,4.5,0.0,768,N,150000,80,32,4.5,NC,-4503.45750550655
F09Q30311723,0,4.75,0.0,745,N,190000,94,999,4.75,WA,-2276.612480424109
F09Q20471948,0,4.25,0.0,801,N,300000,37,18,4.25,CA,-4323.988350814166
F09Q30102498,0,4.875,0.0,791,N,304000,78,27,4.875,NC,-8932.84181082894
F09Q20680854,4,4.875,2591.06,686,N,405000,90,42,4.875,SC,-2504.8898118311786
F09Q20090609,0,4.5,0.0,729,N,191000,57,9,4.5,MN,-7351.897369455961
F09Q20583165,0,4.75,0.0,760,N,312000,101,999,4.75,CA,-7414.409290313176
F09Q30296182,0,5.125,0.0,793,N,107000,80,34,5.125,IL,-8259.807540723008
F09Q30094347,0,4.875,0.0,774,N,208000,79,27,4.875,TX,-8582.726897976661
F09Q40301900,0,5.0,0.0,708,N,227000,68,40,5.0,VA,-1094.8168624691823
F09Q40285830,0,4.25,0.0,807,N,227000,80,46,4.25,NM,-4727.9306982985445
F09Q20025618,0,4.5,0.0,785,N,305000,24,43,4.5,VA,-3998.766007846381
F09Q30000655,0,5.25,0.0,809,N,90000,64,18,5.25,CO,-4503.710445922814
F09Q10249916,0,4.75,0.0,725,N,170000,95,28,4.75,IA,-2958.1442612211627
F09Q30312296,0,4.75,0.0,730,N,417000,71,46,4.75,NC,-1745.7675256685482
F09Q20642620,0,4.75,0.0,790,N,188000,80,24,4.75,NV,-8375.888606328204
F09Q20103335,RA,5.0,-50507.42,724,N,383000,89,35,5.0,OK,-51525.29136699889
F09Q30279431,0,5.5,0.0,704,Y,114000,80,13,5.5,IA,-7153.071867227874
F09Q40025450,0,5.25,0.0,755,Y,106000,80,23,5.25,PA,-4929.519021525971
F09Q40023056,0,5.0,0.0,788,N,141000,63,52,5.0,WA,-7844.557826011883
F09Q20591876,0,4.5,0.0,788,N,164000,73,35,4.5,CO,-2324.3755166884725
F09Q30097428,0,4.25,0.0,759,N,232000,71,21,4.25,NC,-9357.374226736876
F09Q30028672,0,4.625,0.0,674,N,64000,101,999,4.625,MI,-8122.211599650658
F09Q20330703,0,5.0,0.0,738,N,177000,69,24,5.0,MN,-6660.824219265531
F09Q30221767,0,5.125,0.0,725,N,84000,90,27,5.125,OH,-1810.9504920712889
F09Q40022859,0,5.5,0.0,673,N,375000,44,41,5.5,NJ,-1645.4991242285998
F09Q20203597,0,4.875,0.0,754,N,350000,74,52,4.875,NY,-7676.441863010691
F09Q20505327,0,4.375,0.0,776,N,417000,88,30,4.375,GA,-8353.415013575803
F09Q20664720,0,5.375,0.0,720,N,159000,80,46,5.375,KY,-8997.568082727134
F09Q30176083,0,4.875,0.0,752,N,205000,79,24,4.875,TX,-6805.580320208332
F09Q30084023,0,4.875,0.0,700,N,177000,66,22,4.875,CO,-5661.362277643111
F09Q20299284,0,4.875,0.0,750,N,293000,79,39,4.875,KY,-2002.3943722990216
F09Q20516598,0,4.875,0.0,806,N,70000,26,17,4.875,IL,-2188.2426261485684
F09Q40148469,0,5.0,0.0,767,N,100000,49,44,5.0,VA,-2944.9654350351384
F09Q20243387,0,4.75,0.0,790,N,160000,73,38,4.75,FL,-7211.301933827214
F09Q20400870,0,4.5,0.0,780,N,150000,47,42,4.5,WA,-6398.217934308694
F09Q40285354,0,4.875,0.0,721,N,101000,73,45,4.875,CT,-3802.8370939499823
F09Q30248589,0,4.875,0.0,794,N,128000,69,24,4.875,WA,-5899.956297026526
F09Q20630494,0,5.25,0.0,803,N,215000,75,32,5.25,SC,-2219.417480326529
F09Q30217766,34,5.125,-85.0,808,N,26000,44,20,5.125,OH,-90.90937028199568
F09Q30047767,0,4.875,0.0,719,N,417000,54,46,4.875,CO,-9540.332843921477
F09Q40205909,0,5.25,0.0,770,Y,104000,80,32,5.25,WI,-2156.6349707762038
F09Q20008356,0,4.875,0.0,781,N,148000,60,17,4.875,MI,-5980.875537370046
F09Q30203876,0,5.625,0.0,689,N,177000,44,21,5.625,MD,-4595.837515561751
F09Q20666630,0,5.375,0.0,700,Y,110000,67,28,5.375,FL,-3047.728190428873
F09Q20073704,0,4.75,0.0,782,N,217000,64,28,4.75,LA,-5855.301766817176
F09Q20021078,0,4.875,0.0,789,N,153000,80,27,4.875,WA,-5728.384212119146
F09Q20466600,0,4.625,0.0,812,N,200000,46,23,4.625,OR,-5104.405557739936
F09Q30195606,0,5.5,0.0,724,N,264000,80,46,5.5,FL,-6852.880950695633
F09Q30332398,0,4.75,0.0,742,N,107000,85,30,4.75,AL,-8008.975877501482
F09Q20568514,0,4.375,0.0,780,N,390000,39,15,4.375,NY,-4450.95910864321
F09Q30436587,0,5.0,0.0,802,N,34000,62,15,5.0,IN,-5594.726068495208
F09Q20074859,0,4.5,0.0,790,N,133000,68,26,4.5,OH,-7560.57332756426
F09Q20696171,0,4.875,0.0,791,N,217000,46,999,4.875,CA,-5171.697453541646
F09Q20639868,0,5.375,0.0,773,N,187000,85,28,5.375,TX,-2953.6711328035663
F09Q20621797,0,5.375,0.0,774,N,698000,66,41,5.375,CA,-2173.2656989339034
F09Q20599857,0,4.375,0.0,774,N,137000,72,41,4.375,IA,-8343.655016611112
F09Q20244045,0,4.875,0.0,812,N,96000,80,20,4.875,MI,-6603.859454596341
F09Q20269227,0,4.875,0.0,730,N,97000,103,999,4.875,IN,-1423.7550205757714
F09Q40312354,0,5.375,0.0,717,N,123000,80,17,5.375,KY,-8679.57278365552
F09Q20549318,0,5.625,0.0,802,N,268000,81,999,5.625,NC,-8651.055657586474
F09Q40007716,0,4.625,0.0,795,N,102000,62,15,4.625,WI,-2474.328730435077
F09Q30408469,0,4.875,0.0,799,N,106000,49,33,4.875,PA,-4302.81137407874
F09Q20429104,0,6.375,0.0,684,N,120000,80,49,6.375,TN,-2053.693066087124
F09Q40297000,0,5.5,0.0,811,N,176000,56,35,5.5,CA,-7906.018276747141
F09Q30214030,0,4.875,0.0,779,N,300000,73,20,4.875,FL,-9414.01052846806
F09Q40212752,0,4.875,0.0,774,N,398000,54,53,4.875,CA,-5778.018608651528
F09Q30075846,0,5.25,0.0,711,N,220000,80,35,5.25,AZ,-5282.60381909123
F09Q20379587,0,4.625,0.0,749,N,101000,54,52,4.625,OR,-1517.01267420909
F09Q20307559,0,4.875,0.0,778,N,306000,74,36,4.875,IL,-2199.756962975331
F09Q20380916,0,5.375,0.0,813,N,140000,57,40,5.375,WA,-5804.657501444794
F09Q20637019,0,4.875,0.0,782,Y,327000,85,6,4.875,NY,-4381.562258586718
F09Q20121918,0,4.375,0.0,631,N,144000,45,20,4.375,NY,-4927.425731369059
F09Q40054256,0,5.625,0.0,812,N,169000,100,999,5.625,NV,-9639.68463564629
F09Q20647569,0,5.625,0.0,733,Y,187000,80,49,5.625,LA,-4520.697162961164
F09Q40275487,RA,4.875,0.0,732,N,197000,79,40,4.875,AL,-0.0
F09Q20622676,0,4.375,0.0,804,N,110000,37,24,4.375,WA,-8330.788470544076
F09Q30048035,0,4.75,0.0,803,N,258000,67,39,4.75,CA,-2060.06715935733
F09Q30423334,0,4.75,0.0,760,N,296000,49,40,4.75,CA,-3842.4331931072456
F09Q40045156,0,5.125,0.0,776,N,113000,48,33,5.125,MI,-9582.422208967606
F09Q20475520,0,5.0,0.0,746,N,278000,80,23,5.0,MA,-9796.98850764042
F09Q30192088,0,5.25,0.0,745,Y,70000,60,39,5.25,NC,-5194.538732508894
F09Q40156151,0,4.875,0.0,766,N,180000,79,39,4.875,IA,-1872.1513002052184
F09Q40427284,0,4.875,0.0,770,N,145000,60,36,4.875,MN,-5448.854191714471
F09Q20720120,0,5.125,0.0,758,N,643000,65,29,5.125,CT,-1598.4349699646723
F09Q20124425,0,5.125,0.0,771,N,359000,60,24,5.125,MD,-8337.35027904078
F09Q20681460,0,5.125,0.0,659,N,115000,58,13,5.125,TN,-6479.839683654484
F09Q20457500,0,4.875,0.0,724,N,269000,80,54,4.875,IL,-9652.42527555138
F09Q20190508,0,4.45,0.0,710,N,208000,30,999,4.45,MA,-6519.594595128542
F09Q30026646,0,5.125,0.0,677,N,116000,47,48,5.125,NH,-7259.949477010001
F09Q20295864,0,4.5,0.0,798,N,133000,54,16,4.5,OR,-3251.6120049067304
F09Q40378758,0,4.5,0.0,656,N,153000,77,27,4.5,MI,-8409.669717868212
F09Q30366642,0,4.5,0.0,783,N,125000,42,30,4.5,KY,-8839.31722176905
F09Q40078791,0,4.875,0.0,776,N,207000,80,42,4.875,MD,-9430.173939969822
F09Q30188624,0,6.0,0.0,684,N,103000,80,56,6.0,GA,-3942.092966794063
F09Q30166606,0,4.875,0.0,813,N,200000,67,37,4.875,CT,-4874.70399491684
F09Q10228220,0,4.75,0.0,773,N,287000,75,13,4.75,TX,-4874.799601093568
F09Q20241353,0,4.875,0.0,785,N,140000,61,11,4.875,NC,-6763.250112744423
F09Q30293629,0,4.75,0.0,750,N,124000,57,45,4.75,MA,-3240.834140799723
F09Q40087436,0,5.0,0.0,752,N,116000,95,26,5.0,MO,-8024.990213691549
F09Q40349847,0,4.875,0.0,738,N,415000,64,55,4.875,CA,-3739.395776211529
F09Q40106843,0,4.875,0.0,773,N,417000,87,20,4.875,PA,-8055.633825357779
F09Q20248888,0,4.75,0.0,781,N,222000,80,38,4.75,FL,-2016.984498312846
F09Q40365362,0,5.0,0.0,778,N,371000,89,999,5.0,NY,-9204.89343455725
F09Q20663887,0,4.75,0.0,756,N,150000,65,15,4.75,CO,-4883.169441185007
F09Q20246230,0,4.875,0.0,783,N,236000,92,999,4.875,CO,-2661.2204096680566
F09Q30206907,0,5.5,0.0,688,N,287000,83,28,5.5,MN,-9929.038000220226
F09Q40327391,0,4.875,0.0,752,N,408000,99,999,4.875,NC,-3991.1945113925385
F09Q30410944,0,5.125,0.0,785,N,237000,75,41,5.125,DE,-6712.694412252991
F09Q40447716,0,4.875,0.0,779,N,265000,95,999,4.875,IL,-2429.44255552648
F09Q30147506,0,4.75,0.0,769,N,41000,75,47,4.75,TN,-1821.4004067023852
F09Q30360661,0,5.5,0.0,805,N,160000,80,50,5.5,NV,-2212.0396263569714
F09Q40215443,0,4.875,0.0,727,N,372000,58,26,4.875,MD,-9092.951442021556
F09Q20638295,0,4.875,0.0,793,N,207000,67,28,4.875,UT,-7082.1544640510565
F09Q20636803,0,5.25,0.0,759,N,282000,86,999,5.25,CA,-7800.485285150781
F09Q20464608,0,4.625,0.0,718,N,262000,46,24,4.625,DC,-9601.361784706549
F09Q20477482,0,4.5,0.0,732,N,65000,75,31,4.5,CA,-9461.565484935574
F09Q30176972,0,4.875,0.0,801,N,266000,42,28,4.875,NY,-8818.758658656412
F09Q10074285,12,5.25,-43029.71,705,N,204000,89,34,5.25,IL,-39117.15971417281
F09Q30109797,0,4.75,0.0,807,N,232000,73,999,4.75,SC,-6968.618923290799
F09Q20253157,0,4.75,0.0,774,N,200000,75,51,4.75,NY,-9386.896280464269
F09Q40212205,0,5.375,0.0,710,N,175000,100,999,5.375,VA,-7764.718133048525
F09Q20177362,0,4.875,0.0,791,N,150000,31,29,4.875,MN,-6008.48738179173
F09Q40297579,0,5.0,0.0,760,N,158000,74,49,5.0,LA,-5290.250804166175
F09Q20150984,0,4.875,0.0,788,N,112000,68,34,4.875,PA,-1815.835419703572
F09Q30339874,0,5.25,0.0,809,N,523000,49,32,5.25,VA,-5317.798097830148
F09Q20181210,0,5.375,0.0,791,N,165000,80,50,5.375,IL,-9591.917083784798
F09Q40065005,0,4.625,0.0,800,N,234000,86,999,4.625,GA,-9123.630553686842
F09Q30209051,0,4.875,0.0,736,N,257000,86,999,4.875,IL,-2080.751496181315
F09Q40014760,0,5.125,0.0,751,N,99000,50,36,5.125,NY,-5121.427583556025
F09Q20031319,0,4.75,0.0,729,N,406000,58,53,4.75,CA,-9028.906603267857
F09Q30258953,0,4.75,0.0,770,N,143000,35,31,4.75,OR,-8553.451856801445
F09Q30394718,0,4.75,0.0,806,N,112000,40,36,4.75,MT,-8914.291134715973
F09Q30313463,0,4.875,0.0,763,N,160000,75,17,4.875,OR,-6593.051169032983
F09Q30394516,0,4.75,0.0,750,N,89000,50,28,4.75,AL,-8287.674057638484
F09Q20491897,0,4.875,0.0,759,N,145000,66,47,4.875,MN,-4221.068106769097
F09Q30343894,0,5.875,0.0,723,N,307000,105,999,5.875,NV,-2400.7161607305898
F09Q10180507,0,5.125,0.0,800,N,119000,67,25,5.125,MO,-8551.702315197732
F09Q40372748,0,4.625,0.0,723,N,92000,52,999,4.625,MN,-9232.5786337988
F09Q20183998,0,4.875,0.0,801,N,105000,70,21,4.875,NY,-4368.374347687262
F09Q40326708,0,5.0,0.0,736,N,218000,67,999,5.0,NJ,-2468.9846500980084
F09Q30053970,0,4.875,0.0,720,N,320000,80,31,4.875,VA,-1405.6611106281134
F09Q10588715,RA,5.125,-53274.46,703,N,114000,80,54,5.125,AR,-56699.48755899224
F09Q10243027,33,4.75,-117098.0,732,N,190000,72,32,4.75,NJ,-115861.01643495217
F09Q20292806,0,4.75,0.0,813,N,92000,46,32,4.75,CO,-7632.028013427167
F09Q20447432,0,4.625,0.0,796,N,150000,59,17,4.625,MN,-9113.85087174486
F09Q40084739,0,4.5,0.0,736,N,147000,72,999,4.5,TN,-1198.7163322836425
F09Q30395451,0,4.25,0.0,804,N,40000,11,42,4.25,PA,-9434.052424223371
F09Q40115669,0,5.375,0.0,779,N,92000,80,36,5.375,PA,-2662.782830443954
F09Q30336702,0,6.0,0.0,695,N,200000,73,59,6.0,KY,-7476.828600060309
F09Q40324534,0,4.875,0.0,776,N,143000,47,26,4.875,IL,-2558.138871768557
F09Q30348983,0,4.75,0.0,765,N,252000,76,46,4.75,MA,-1155.775305957084
F09Q30289087,0,6.25,0.0,639,N,271000,101,999,6.25,PA,-5845.462999433711
F09Q40450698,0,5.125,0.0,732,N,150000,80,46,5.125,CT,-2967.134854019473
F09Q40295559,0,4.875,0.0,737,N,360000,90,20,4.875,MT,-9474.903325434016
F09Q40402019,0,4.625,0.0,809,N,162000,90,37,4.625,NE,-4241.940622468692
F09Q10098393,0,5.25,0.0,676,N,75000,43,55,5.25,MI,-8624.801350250587
F09Q40122972,0,5.875,0.0,783,N,105000,56,29,5.875,IL,-7588.024131278966
F09Q20247341,0,4.75,0.0,777,N,84000,46,17,4.75,IL,-4668.974846002522
F09Q20071834,0,4.5,0.0,782,N,150000,38,36,4.5,TX,-6459.182877806788
F09Q40327289,0,5.0,0.0,730,Y,216000,80,36,5.0,NY,-6090.401963166172
F09Q30283521,0,5.25,0.0,739,N,178000,60,54,5.25,CA,-3994.735715136368
F09Q20266535,0,4.75,0.0,803,N,336000,95,26,4.75,GA,-9492.47403528683
F09Q40059098,0,5.0,0.0,744,N,177000,73,37,5.0,AR,-6659.955357401174
F09Q40042330,0,5.125,0.0,787,N,417000,56,18,5.125,PA,-1341.5824327653656
F09Q20468126,0,5.25,0.0,792,N,48000,10,999,5.25,CO,-2944.185107372923
F09Q40248392,0,4.25,0.0,769,N,165000,89,31,4.25,TX,-9195.56403555972
F09Q20422983,0,5.0,0.0,769,N,142000,101,999,5.0,WI,-7956.572455310144
F09Q30089027,0,5.125,0.0,806,N,222000,44,31,5.125,WA,-3463.81076491006
F09Q40060166,0,4.75,0.0,777,N,372000,60,31,4.75,CA,-7941.079454454625
F09Q40020807,0,5.25,0.0,763,N,236000,90,40,5.25,NH,-3935.780761890921
F09Q20355791,0,5.75,0.0,704,N,32000,80,38,5.75,NV,-7012.840805357483
